ROI,Trial,RMS,Mean,Std,Cardiac_Band_Power,Cardiac_Band_Fraction,Dominant_Freq_Hz
nose,T1,0.014552,-0.0,0.014552,2.4e-06,0.0458,0.96
nose,T2,0.07011,-0.0,0.07011,2.327e-05,0.0133,0.823
nose,T3,0.115172,-0.0,0.115172,6.493e-05,0.0234,0.823
forehead,T1,0.026239,0.0,0.026239,2.12e-06,0.024,0.96
forehead,T2,0.121498,-0.0,0.121498,7.298e-05,0.0109,0.823
forehead,T3,0.11875,0.0,0.11875,9.094e-05,0.0212,0.823
left_cheek,T1,0.017011,-0.0,0.017011,1.9e-06,0.0291,0.96
left_cheek,T2,0.072126,0.0,0.072126,4.425e-05,0.0165,0.823
left_cheek,T3,0.110248,-0.0,0.110248,6.737e-05,0.0211,0.823
right_cheek,T1,0.011467,0.0,0.011467,2.13e-06,0.0648,0.96
right_cheek,T2,0.061751,0.0,0.061751,2.379e-05,0.0126,0.823
right_cheek,T3,0.126666,-0.0,0.126666,5.986e-05,0.0152,0.823
